# Enigma Machine Simulation Configuration
date,2021-12-18
unk,X
len,26
# alphabet,list-idx,char
abc,0,A
abc,1,B
abc,2,C
abc,3,D
abc,4,E
abc,5,F
abc,6,G
abc,7,H
abc,8,I
abc,9,J
abc,10,K
abc,11,L
abc,12,M
abc,13,N
abc,14,O
abc,15,P
abc,16,Q
abc,17,R
abc,18,S
abc,19,T
abc,20,U
abc,21,V
abc,22,W
abc,23,X
abc,24,Y
abc,25,Z
# rotor-name,in-list-idx,out-list-idx,in-char,out-char
VIII,15,13,P,N
VIII,16,14,Q,O
VIII,17,6,R,G
VIII,18,11,S,L
VIII,19,3,T,D
VIII,20,24,U,Y
VIII,21,10,V,K
VIII,22,0,W,A
VIII,23,16,X,Q
VIII,24,5,Y,F
VIII,25,4,Z,E
# reflector,in-list-idx,out-list-idx,in-char,out-char
ref,0,23,A,X
ref,1,25,B,Z
ref,2,13,C,N
ref,3,16,D,Q
ref,4,8,E,I
ref,5,7,F,H
ref,6,14,G,O
ref,7,5,H,F
ref,8,4,I,E
ref,9,21,J,V
ref,10,18,K,S
ref,11,12,L,M
ref,12,11,M,L
ref,13,2,N,C
ref,14,6,O,G
ref,15,22,P,W
ref,16,3,Q,D
ref,17,20,R,U
ref,18,10,S,K
ref,19,24,T,Y
ref,20,17,U,R
ref,21,9,V,J
ref,22,15,W,P
ref,23,0,X,A
ref,24,19,Y,T
ref,25,1,Z,B
# plugboard,char-pair
plug,AC
plug,BD
